League,Phase,HomePPG,AwayPPG,DeltaPPG,GoalDiff,n,Delta_mean,CI_low,CI_high
Bundesliga,GhostGames_2019_20,1.1829268292682926,1.5853658536585367,-0.4024390243902439,-0.24390243902439024,82,-0.4024390243902439,-0.9683440740143511,0.16346602523386322
Bundesliga,GhostGames_2020_21,1.5294117647058822,1.2058823529411764,0.3235294117647059,0.3202614379084967,306,0.3235294117647059,0.03711959273332005,0.6099392307960918
Bundesliga,PartialFans_2021_22,1.6405228758169934,1.1209150326797386,0.5196078431372549,0.40522875816993464,306,0.5196078431372549,0.23166359200527975,0.8075520942692301
Bundesliga,Post-Covid,1.55119825708061,1.1949891067538125,0.3562091503267974,0.3540305010893246,918,0.3562091503267974,0.1900720489371575,0.5223462517164372
Bundesliga,Pre-Covid,1.560377358490566,1.209433962264151,0.35094339622641507,0.3339622641509434,530,0.35094339622641507,0.12864373191380082,0.5732430605390293
La Liga,GhostGames_2019_20,1.6222222222222222,1.0222222222222221,0.6,0.35555555555555557,45,0.6,-0.08916180948268992,1.2891618094826898
La Liga,GhostGames_2020_21,1.536388140161725,1.1805929919137466,0.3557951482479784,0.22911051212938005,371,0.3557951482479784,0.09951199374524022,0.6120783027507166
La Liga,PartialFans_2021_22,1.5983379501385042,1.10803324099723,0.4903047091412742,0.3462603878116344,361,0.4903047091412742,0.23482052367034473,0.7457888946122038
La Liga,Post-Covid,1.6201754385964913,1.1228070175438596,0.49736842105263157,0.33596491228070174,1140,0.49736842105263157,0.349997709030136,0.6447391330751271
La Liga,Pre-Covid,1.6553846153846155,1.06,0.5953846153846154,0.38461538461538464,650,0.5953846153846154,0.40561809906307766,0.7851511317061531
Ligue 1,GhostGames_2020_21,1.3705882352941177,1.3705882352941177,0.0,0.029411764705882353,340,0.0,-0.2749351761392651,0.2749351761392651
Ligue 1,PartialFans_2021_22,1.5805555555555555,1.163888888888889,0.4166666666666667,0.37222222222222223,360,0.4166666666666667,0.15240307029159395,0.6809302630417394
Ligue 1,Post-Covid,1.5252016129032258,1.2379032258064515,0.2872983870967742,0.19959677419354838,992,0.2872983870967742,0.12511771609055983,0.44947905810298855
Ligue 1,Pre-Covid,1.629742033383915,1.0971168437025796,0.5326251896813353,0.4188163884673748,659,0.5326251896813353,0.34148398360335386,0.7237663957593168
Premier League,GhostGames_2019_20,1.565217391304348,1.173913043478261,0.391304347826087,0.5217391304347826,23,0.391304347826087,-0.6739709359740731,1.456579631626247
Premier League,GhostGames_2020_21,1.3480662983425415,1.4226519337016574,-0.07458563535911603,0.011049723756906077,362,-0.07458563535911603,-0.34616035511441956,0.19698908439618748
Premier League,PartialFans_2021_22,1.511173184357542,1.2597765363128492,0.25139664804469275,0.20670391061452514,358,0.25139664804469275,-0.020598589960001634,0.5233918860493871
Premier League,Post-Covid,1.5824561403508772,1.187719298245614,0.39473684210526316,0.27631578947368424,1140,0.39473684210526316,0.24356695346337384,0.5459067307471525
Premier League,Pre-Covid,1.6062874251497006,1.1796407185628743,0.42664670658682635,0.30538922155688625,668,0.42664670658682635,0.2274250404643107,0.625868372709342
Serie A,GhostGames_2019_20,1.7222222222222223,1.0555555555555556,0.6666666666666666,0.2222222222222222,18,0.6666666666666666,-0.5504392718187335,1.8837726051520667
Serie A,GhostGames_2020_21,1.482573726541555,1.2654155495978552,0.21715817694369974,0.20107238605898123,373,0.21715817694369974,-0.04557751223748688,0.4798938661248864
Serie A,PartialFans_2021_22,1.4395604395604396,1.2994505494505495,0.1401098901098901,0.1620879120879121,364,0.1401098901098901,-0.12480088390635224,0.40502066412613247
Serie A,Post-Covid,1.5201754385964912,1.199122807017544,0.32105263157894737,0.2131578947368421,1140,0.32105263157894737,0.17447195611713914,0.46763330704075556
Serie A,Pre-Covid,1.529874213836478,1.2091194968553458,0.32075471698113206,0.23742138364779874,636,0.32075471698113206,0.1217251733863379,0.5197842605759262
