Team,GF,GA,Pts,MP,GD,PPG
St Pauli,445.0,402.0,459,306,43.0,1.5
Greuther Furth,406.0,405.0,420,306,1.0,1.3725490196078431
Hamburg,457.0,300.0,411,238,157.0,1.726890756302521
Hannover,400.0,376.0,380,272,24.0,1.3970588235294117
Nurnberg,381.0,409.0,373,272,-28.0,1.3713235294117647
Karlsruhe,420.0,410.0,366,272,10.0,1.3455882352941178
Darmstadt,333.0,285.0,318,204,48.0,1.5588235294117647
Paderborn,363.0,283.0,317,204,80.0,1.553921568627451
Holstein Kiel,339.0,296.0,313,204,43.0,1.5343137254901962
Heidenheim,259.0,211.0,280,170,48.0,1.6470588235294117
Fortuna Dusseldorf,289.0,223.0,274,170,66.0,1.611764705882353
FC Koln,251.0,177.0,234,136,74.0,1.7205882352941178
Regensburg,249.0,340.0,226,204,-91.0,1.107843137254902
Bielefeld,229.0,174.0,218,136,55.0,1.6029411764705883
Bochum,235.0,188.0,218,136,47.0,1.6029411764705883
Kaiserslautern,236.0,195.0,205,136,41.0,1.5073529411764706
Mainz,194.0,168.0,193,136,26.0,1.4191176470588236
Sandhausen,206.0,274.0,184,170,-68.0,1.0823529411764705
Stuttgarter K,169.0,185.0,177,136,-16.0,1.3014705882352942
Magdeburg,193.0,214.0,165,136,-21.0,1.213235294117647
F Koln,192.0,205.0,163,136,-13.0,1.1985294117647058
Erzgebirge Aue,165.0,220.0,157,136,-55.0,1.1544117647058822
Unterhaching,123.0,94.0,156,102,29.0,1.5294117647058822
Hertha,175.0,148.0,150,102,27.0,1.4705882352941178
Schalke 04,177.0,166.0,146,102,11.0,1.4313725490196079
Cottbus,148.0,120.0,144,102,28.0,1.411764705882353
Braunschweig,147.0,235.0,140,136,-88.0,1.0294117647058822
Gutersloh,125.0,135.0,137,102,-10.0,1.3431372549019607
Uerdingen,116.0,141.0,118,102,-25.0,1.1568627450980393
Hansa Rostock,103.0,157.0,113,102,-54.0,1.107843137254902
Ein Frankfurt,93.0,78.0,112,68,15.0,1.6470588235294117
Dresden,106.0,152.0,106,102,-46.0,1.0392156862745099
Elversberg,113.0,100.0,101,68,13.0,1.4852941176470589
Osnabruck,112.0,175.0,101,102,-63.0,0.9901960784313726
TB Berlin,89.0,89.0,94,68,0.0,1.3823529411764706
Oberhausen,83.0,81.0,90,68,2.0,1.3235294117647058
Ulm,99.0,99.0,88,68,0.0,1.2941176470588236
Leipzig,84.0,105.0,85,68,-21.0,1.25
Mannheim,95.0,112.0,82,68,-17.0,1.2058823529411764
CZ Jena,83.0,110.0,75,68,-27.0,1.1029411764705883
Dusseldorf,87.0,113.0,74,68,-26.0,1.088235294117647
Meppen,79.0,109.0,71,68,-30.0,1.0441176470588236
Wattenscheid,72.0,87.0,70,68,-15.0,1.0294117647058822
Zwickau,66.0,103.0,70,68,-37.0,1.0294117647058822
Wehen,81.0,115.0,66,68,-34.0,0.9705882352941176
Werder Bremen,65.0,43.0,63,34,22.0,1.8529411764705883
Freiburg,57.0,36.0,61,34,21.0,1.7941176470588236
Wolfsburg,52.0,29.0,58,34,23.0,1.7058823529411764
Stuttgart,62.0,41.0,58,34,21.0,1.7058823529411764
Union Berlin,54.0,33.0,57,34,21.0,1.6764705882352942
Ingolstadt,73.0,120.0,56,68,-47.0,0.8235294117647058
M'gladbach,60.0,43.0,54,34,17.0,1.588235294117647
Aachen,46.0,54.0,46,34,-8.0,1.3529411764705883
Chemnitz,42.0,49.0,43,34,-7.0,1.2647058823529411
PreuÃen MÃ¼nster,40.0,43.0,36,34,-3.0,1.0588235294117647
Lubeck,32.0,53.0,36,34,-21.0,1.0588235294117647
Offenbach,35.0,58.0,35,34,-23.0,1.0294117647058822
Essen,47.0,74.0,29,34,-27.0,0.8529411764705882
Duisburg,39.0,65.0,28,34,-26.0,0.8235294117647058
Oldenburg,33.0,67.0,27,34,-34.0,0.7941176470588235
Wurzburger Kickers,37.0,69.0,25,34,-32.0,0.7352941176470589
